location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,p3_variance,p3_min,p3_max,predicted_class
PSP12.28,2022-04-06,Bear Island,43.78556,-69.87415,2022-04-10,2022-04-16,92,7,1,0,0,0,0,0
PSP19.15,2022-04-04,Stonington,44.15419,-68.65947,2022-04-08,2022-04-14,98,2,0,0,0,0,0,0
PSP21.09,2022-04-04,Bass Hbr.,44.23824,-68.34792,2022-04-08,2022-04-14,98,2,0,0,0,0,0,0
PSP10.11,2022-04-05,Ogunquit River,43.2503,-70.5954,2022-04-09,2022-04-15,98,2,0,0,0,0,0,0
PSP10.29,2022-04-05,Pine Point,43.54459,-70.33231,2022-04-09,2022-04-15,98,2,0,0,0,0,0,0
PSP10.33,2022-04-05,Spurwink River,43.56632,-70.27305,2022-04-09,2022-04-15,98,2,0,0,0,0,0,0
PSP15.25,2022-04-05,Christmas Cove Town Landing,43.84476,-69.55365,2022-04-09,2022-04-15,98,2,0,0,0,0,0,0
PSP16.41,2022-04-05,Port Clyde,43.92526,-69.259,2022-04-09,2022-04-15,98,2,0,0,0,0,0,0
PSP12.01,2022-04-06,Basin Pt.,43.73848,-70.04343,2022-04-10,2022-04-16,98,2,0,0,0,0,0,0
PSP12.03,2022-04-06,Potts Pt.,43.73064,-70.02556,2022-04-10,2022-04-16,98,2,0,0,0,0,0,0
PSP12.13,2022-04-06,Lumbos Hole,43.79553,-69.94557,2022-04-10,2022-04-16,98,2,0,0,0,0,0,0
PSP12.34,2022-04-06,Head Beach,43.71711,-69.84999,2022-04-10,2022-04-16,98,2,0,0,0,0,0,0
